
STR/BTC 1512695543292000 0.00000733 0.00000731 0.00000732 772489063 
NXT/BTC 1512695544542000 0.00003624 0.00003641 0.00003649 44099594 
BTC/USDT 1512695546035000 16551.0 16551.00000003 16589.99999987 16502 
XMR/BTC 1512695547141000 0.01497374 0.01497374 0.01497535 192883 
STR/BTC 1512695548349000 0.00000732 0.00000732 0.00000736 772988371 
NXT/BTC 1512695550173000 0.00003641 0.00003641 0.00003649 44099594 
BTC/USDT 1512695551309000 16551.00000004 16551.00000007 16600.0 16507 
XMR/BTC 1512695552397000 0.01497374 0.01497374 0.01497536 192883 
STR/BTC 1512695553500000 0.00000736 0.00000732 0.00000733 772988371 
NXT/BTC 1512695556536000 0.00003641 0.00003641 0.00003649 44099594 
BTC/USDT 1512695557641000 16551.00000007 16586.0 16642.99999996 16507 
XMR/BTC 1512695558730000 0.01497374 0.01497374 0.01497536 192883 
STR/BTC 1512695559849000 0.00000729 0.00000729 0.00000735 772988371 
NXT/BTC 1512695561000000 0.00003649 0.00003649 0.0000365 44099594 
BTC/USDT 1512695562208000 16642.99999993 16642.99999983 16642.99999993 16507 
XMR/BTC 1512695565179000 0.01497374 0.01497374 0.01497536 192883 
STR/BTC 1512695566277000 0.00000729 0.0000073 0.00000732 772988371 
NXT/BTC 1512695567362000 0.00003641 0.00003641 0.0000365 44099594 
BTC/USDT 1512695568440000 16655.00000021 16644.99999989 16655.0000002 16507 
XMR/BTC 1512695569523000 0.01497374 0.01497374 0.01497536 192883 
STR/BTC 1512695570623000 0.00000737 0.00000737 0.00000738 772988371 
NXT/BTC 1512695571697000 0.00003649 0.00003641 0.00003649 44099594 
BTC/USDT 1512695573680000 16551.0 16551.0 16613.99999997 16507 
XMR/BTC 1512695577330000 0.01497374 0.0149406 0.01497374 192883 
STR/BTC 1512695578714000 0.00000738 0.00000738 0.00000741 772988371 
NXT/BTC 1512695579867000 0.00003641 0.00003641 0.00003679 44099594 
BTC/USDT 1512695580960000 16589.99999987 16551.00000008 16589.99999987 16507 
XMR/BTC 1512695582325000 0.01494061 0.01494061 0.0149599 192883 
STR/BTC 1512695585548000 0.00000745 0.00000739 0.00000744 772988371 
NXT/BTC 1512695587454000 0.00003702 0.00003642 0.00003703 44099594 
BTC/USDT 1512695588631000 16556.00000001 16565.1149999 16589.99999979 16507 
XMR/BTC 1512695589870000 0.01506033 0.01494068 0.01506033 192883 
STR/BTC 1512695591048000 0.00000745 0.00000742 0.00000745 772988371 
NXT/BTC 1512695594602000 0.00003641 0.0000363 0.00003641 44099594 
BTC/USDT 1512695595892000 16589.99999966 16556.00000005 16589.99999966 16507 
XMR/BTC 1512695597068000 0.01506033 0.01494075 0.01506033 192883 
STR/BTC 1512695598157000 0.00000744 0.00000744 0.00000747 772988371 
NXT/BTC 1512695599263000 0.00003678 0.0000366 0.00003698 44099594 
BTC/USDT 1512695600347000 16580.0 16556.0000001 16580.0 16507 
XMR/BTC 1512695601890000 0.01494078 0.01494078 0.01506032 192883 
STR/BTC 1512695603782000 0.00000744 0.00000744 0.00000745 772988371 
NXT/BTC 1512695605022000 0.00003659 0.00003659 0.0000366 44099594 
BTC/USDT 1512695606516000 16579.99999994 16556.00000014 16579.99999994 16507 
XMR/BTC 1512695607652000 0.01506024 0.01494081 0.01506024 192883 
STR/BTC 1512695608871000 0.00000752 0.0000075 0.00000752 772988371 
NXT/BTC 1512695609985000 0.00003659 0.00003652 0.00003697 44099594 
BTC/USDT 1512695613697000 16579.99999994 16556.00000022 16579.99999994 16507 
XMR/BTC 1512695615664000 0.01494604 0.01494604 0.01506019 192830 
STR/BTC 1512695616761000 0.0000075 0.00000747 0.0000075 775478857 
NXT/BTC 1512695617824000 0.00003652 0.00003653 0.00003658 44124108 
BTC/USDT 1512695618972000 16594.99999987 16594.99999987 16639.99999997 16516 
XMR/BTC 1512695620059000 0.014961 0.014961 0.01505868 192830 
STR/BTC 1512695623031000 0.00000753 0.00000752 0.00000753 775478857 
NXT/BTC 1512695624507000 0.00003658 0.00003652 0.00003658 44124108 
BTC/USDT 1512695625581000 16589.9999997 16636.49999985 16636.49999995 16516 
XMR/BTC 1512695626757000 0.01506016 0.01496106 0.01506011 192830 
STR/BTC 1512695627857000 0.00000748 0.00000748 0.00000751 775478857 
NXT/BTC 1512695628949000 0.00003658 0.00003652 0.00003658 44124108 
BTC/USDT 1512695632328000 16589.99999987 16589.9999999 16635.03098997 16516 
